"Name","Team","Goals","Assists","Turnovers","Stops (Quaffle)","Beater Shifts","0 Bludgers","1 Bludger","2 Bludgers","BS","Stops (Beater)","Plus - Minus","Catches","Games Rostered"
"Colin Bourn","WAS","0","0","0","0","57","2","22","20","35.09%","10","31","0","9"
"Conner Dvorak","KC","0","0","0","0","10","0","6","4","40.0%","1","1","0","3"
"Conner Mason","LC","0","0","0","0","49","7","28","13","26.53%","6","15","0","6"
"Connor Flatley","IND","0","0","2","0","0","0","0","0","0%","0","0","0","3"
"Cory Smithson","TOR","1","1","4","0","106","15","35","56","52.83%","38","26","2","3"
"Craig Garrison","SA","0","0","0","0","0","0","0","0","0%","0","0","0","0"
"Dakota Crawford","CLE","0","0","4","1","0","0","0","0","0%","0","0","0","3"
"Dale Farnan","WAS","1","1","5","4","0","0","0","0","0%","0","0","0","3"
"Daniel Rendon","KC","0","0","0","0","0","0","0","0","0%","0","0","0","0"
"Daniel Sialm","AUS","2","2","3","0","0","0","0","0","0%","0","0","0","0"
"Daniel Williams","SA","2","0","1","3","69","5","19","44","63.77%","12","4","0","6"
"Dany Yaacoub","IND","0","0","0","0","55","3","11","41","74.55%","7","8","0","9"
"Darian Murcek-Ellis","KC","11","11","8","10","0","0","0","0","0%","0","0","0","3"
"Darren Bell","OTT","2","7","24","11","0","0","0","0","0%","0","0","0","12"
"David Avila","SA","16","14","6","13","4","1","1","2","50.0%","0","0","0","6"
"David Banas","DET","0","0","0","0","58","5","34","19","32.76%","2","-24","0","9"
"David Hidalgo","NO","2","0","4","0","0","0","0","0","0%","0","0","0","6"
"David Littleton","WAS","12","8","5","10","0","0","0","0","0%","0","0","0","6"
"David Profusek","CLE","0","0","4","5","0","0","0","0","0%","0","0","0","6"
"David Wier","DET","0","0","0","0","32","0","19","13","40.62%","1","-5","0","6"
"Derek Taylor","TOR","0","0","0","0","116","13","50","53","45.69%","49","26","0","3"
"Devin Dutt","TOR","0","3","2","4","12","2","6","4","33.33%","1","4","0","3"
"Devin Klassic","CLT","7","6","9","5","0","0","0","0","0%","0","0","1","12"
"Devin Lee","NYC","4","2","0","2","94","3","32","57","60.64%","20","29","0","6"
"Devon Shusterman","CLT","0","0","0","0","53","3","30","20","37.74%","3","-6","0","9"
"Diana Howard","WAS","0","0","0","0","60","2","25","18","30.0%","8","29","0","9"
"Dilan Freeman","SA","6","3","6","5","0","0","0","0","0%","0","0","0","6"
"Drew Stroud","NO","1","6","9","6","0","0","0","0","0%","0","0","0","6"
"Dustin Minnick","IND","0","0","0","0","23","1","11","11","47.83%","2","5","0","6"
"Dylan Bottoms","AUS","0","3","0","1","0","0","0","0","0%","0","0","0","0"
"Dylan DeLee","NO","11","6","11","6","0","0","0","0","0%","0","0","0","12"
"Eleanor Pederson","MPLS","1","0","2","1","0","0","0","0","0%","0","0","0","3"
"Elizabeth Williams","DET","0","0","0","0","37","3","23","11","29.73%","1","-15","0","6"
"Ellen Pandanell","SA","0","0","0","0","2","0","1","1","50.0%","0","0","0","3"
"Ellie Kalutycz","OTT","2","1","18","10","0","0","0","0","0%","0","0","0","15"
"Emily Hickmott","ROC","1","3","4","3","80","4","47","29","36.25%","9","4","0","6"
"Emily Naftel","OTT","1","3","8","11","8","4","3","1","12.5%","0","-6","1","15"
"Emily Thompson","NO","2","2","16","6","0","0","0","0","0%","0","0","0","12"
"Emma Hans","DET","0","0","3","0","0","0","0","0","0%","0","0","0","3"
"Emma Persons","MPLS","4","10","10","16","0","0","0","0","0%","0","0","0","9"
"Emma Polen","BOS","0","0","5","1","0","0","0","0","0%","0","0","0","6"
"Emma Sherwood","TOR","0","0","0","0","130","17","43","70","53.85%","40","32","0","3"
"Emma Vasquez","DET","2","3","6","2","0","0","0","0","0%","0","0","0","9"
"Eric Jurgeson","NO","1","0","4","3","0","0","0","0","0%","0","0","2","6"
"Eric Pagoada","NYC","3","4","2","3","0","0","0","0","0%","0","0","1","3"
"Eric Reyes","SA","4","3","3","3","0","0","0","0","0%","0","0","2","6"
"Erin McBride","AUS","7","8","10","5","0","0","0","0","0%","0","0","0","0"
"Erin McCrady","BOS","0","0","0","0","53","7","18","27","50.94%","5","4","0","12"
"Erin Parkinson","ROC","0","0","0","0","60","0","24","33","55.0%","4","14","0","3"
"Ethan Ahern","DET","0","1","4","2","0","0","0","0","0%","0","0","0","6"
"Evalien Duyvesteyn","ROC","0","0","5","2","0","0","0","0","0%","0","0","0","6"
"Felix Tremblay","OTT","0","0","1","0","0","0","0","0","0%","0","0","0","0"
"Finn McGarghan","BOS","11","3","7","8","0","0","0","0","0%","0","0","0","9"
"Fiona Gaffney","CLE","0","0","3","5","0","0","0","0","0%","0","0","0","6"
"Fiona Wisehart","BOS","0","0","0","0","55","2","9","44","80.0%","3","13","0","6"
"Frank Minson","NYC","8","11","6","8","7","1","2","4","57.14%","2","4","0","3"
"Gabbie Benda","WAS","0","0","0","0","0","0","0","0","0%","0","0","0","0"
"Gabe Boris","CLE","0","0","1","7","0","0","0","0","0%","0","0","0","6"
