"Name","Team","Goals","Assists","Turnovers","Stops (Quaffle)","Beater Shifts","0 Bludgers","1 Bludger","2 Bludgers","BS","Stops (Beater)","Plus - Minus","Catches","Games Rostered"
"Mike Devine","MPLS","6","4","12","10","0","0","0","0","0%","0","0","0","9"
"Mike Pirrall","ROC","4","2","7","6","0","0","0","0","0%","0","0","0","6"
"Milena Sousa","SA","1","4","12","2","0","0","0","0","0%","0","0","0","6"
"Missy Ghoddossy","AUS","0","6","1","3","0","0","0","0","0%","0","0","0","0"
"Mitch Brown","ROC","7","2","5","8","0","0","0","0","0%","0","0","0","6"
"Mitchell Vargas","ROC","10","4","7","7","0","0","0","0","0%","0","0","0","3"
"Mo Haggag","NYC","0","0","0","0","0","0","0","0","0%","0","0","0","0"
"Molly Potter","NYC","3","4","6","3","0","0","0","0","0%","0","0","0","3"
"Monica Marion","IND","2","2","4","5","0","0","0","0","0%","0","0","0","6"
"Morgan Bertram","BOS","8","3","9","3","0","0","0","0","0%","0","0","0","9"
"MY Monawar","CLT","13","8","22","7","0","0","0","0","0%","0","0","0","12"
"Nathan Clemente","DET","1","0","7","5","0","0","0","0","0%","0","0","0","6"
"Nathan Digmann","IND","23","14","6","4","0","0","0","0","0%","0","0","0","6"
"Nathan Feidner","DET","0","0","5","6","0","0","0","0","0%","0","0","0","6"
"Nathan Podolsky","MPLS","0","0","0","0","73","8","32","33","45.21%","10","15","0","9"
"Nathan Reid","OTT","2","4","25","22","0","0","0","0","0%","0","0","0","15"
"Nathan Wilkinson","LC","0","1","0","5","0","0","0","0","0%","0","0","0","6"
"Neil Peterson","DET","1","0","1","0","0","0","0","0","0%","0","0","0","3"
"Nevin O'Donnell","IND","6","3","1","0","0","0","0","0","0%","0","0","0","6"
"Nick Mueller","NO","10","2","15","4","0","0","0","0","0%","0","0","0","9"
"Nick Zoner","AUS","0","4","1","2","0","0","0","0","0%","0","0","0","0"
"Nicodemus Robles","SA","0","0","0","0","13","1","7","5","38.46%","1","4","0","0"
"Nicole Nelson","MPLS","0","1","1","0","80","6","36","38","47.5%","1","9","0","9"
"Nivash Jayaram","IND","0","0","0","0","40","0","11","29","72.5%","9","14","0","6"
"Nojus Ausra","BOS","0","0","0","0","25","0","6","18","72.0%","1","9","0","6"
"Norbert Buenio","OTT","3","3","18","8","0","0","0","0","0%","0","0","0","9"
"OB Obanor","MPLS","24","14","11","5","0","0","0","0","0%","0","0","0","6"
"Olive Daniels","LC","0","0","0","0","0","0","0","0","0%","0","0","0","6"
"Oliver Hodge","CLT","19","4","11","10","0","0","0","0","0%","0","0","0","12"
"Paige Bellamy","WAS","0","0","0","0","0","0","0","0","0%","0","0","0","3"
"Paige Hare","TOR","0","1","1","8","0","0","0","0","0%","0","0","0","0"
"Patrick Callanan","ROC","1","0","1","0","92","3","44","43","46.74%","7","22","0","6"
"Paul Ruffollo","NYC","10","7","4","6","0","0","0","0","0%","0","0","0","3"
"Paul Ruffolo","NYC","0","0","0","1","0","0","0","0","0%","0","0","0","3"
"Pavel Popov","OTT","5","3","20","9","0","0","0","0","0%","0","0","0","12"
"Perry Walton","LC","8","2","4","1","0","0","0","0","0%","0","0","0","6"
"Perry Wang","CLT","0","0","0","0","65","3","26","34","52.31%","15","1","0","12"
"Peter Brechting","CLE","7","4","11","10","10","3","5","2","20.0%","2","-5","0","6"
"Peter Joncas","MPLS","4","0","3","8","0","0","0","0","0%","0","0","0","3"
"Peter Lawrence","BOS","8","7","9","7","0","0","0","0","0%","0","0","0","9"
"Peyton Jay","IND","4","1","0","3","0","0","0","0","0%","0","0","0","6"
"Phil Smith","CLT","0","0","0","0","0","0","0","0","0%","0","0","0","3"
"Phill Cain","NYC","0","0","0","0","33","2","6","25","75.76%","5","15","0","6"
"Pierre Allard","OTT","1","0","3","1","12","7","4","1","8.33%","0","-11","0","9"
"Piotr Makuch","TOR","0","0","0","0","86","10","36","40","46.51%","31","17","0","3"
"PJ Mitchell","NO","19","19","19","4","0","0","0","0","0%","0","0","0","12"
"Purvi Mujumdar","AUS","0","0","0","0","64","3","14","34","53.12%","27","13","0","0"
"Quincy Hildreth","CLT","13","12","22","9","0","0","0","0","0%","0","0","0","12"
"Rachel Ayella-Silver","NYC","0","0","0","0","11","2","3","6","54.55%","6","3","0","0"
"Rachel Heald","WAS","13","12","8","18","0","0","0","0","0%","0","0","0","9"
"Rachel Manhardt","BOS","2","0","9","3","0","0","0","0","0%","0","0","0","9"
"Rachelle Winterberger","DET","0","0","0","0","0","0","0","0","0%","0","0","0","3"
"Rae Barnes","CLE","0","0","0","0","12","0","5","7","58.33%","1","-3","0","3"
"Rei Brodeur","DET","0","0","0","0","85","14","58","13","15.29%","3","-29","0","9"
"Rick  Wasser","DET","0","0","0","0","0","0","0","0","0%","0","0","0","3"
"Rick Wasser","DET","1","2","2","0","0","0","0","0","0%","0","0","0","3"
"Riley Hodder","DET","0","0","0","0","3","0","2","1","33.33%","0","-1","0","3"
"Riley Starrs","WAS","18","12","8","12","0","0","0","0","0%","0","0","0","9"
"Rob Beaton","CLE","0","0","0","0","4","0","1","3","75.0%","0","-1","0","3"
"Robbie Wallace","KC","0","0","0","0","0","0","0","0","0%","0","0","0","0"
"Robert Ali","TOR","0","6","11","6","0","0","0","0","0%","0","0","0","3"
"Robert Butler","DET","0","0","0","0","35","8","16","9","25.71%","10","-8","0","9"
"Robin Zhu","TOR","0","0","0","1","54","9","25","20","37.04%","15","10","0","3"
"Rory Uskavitch","MPLS","0","0","0","0","0","0","0","0","0%","0","0","0","0"
"Rowan Marusek","CLE","0","0","0","0","38","11","17","10","26.32%","6","8","0","3"
"Ryan Davis","CLT","11","2","27","4","29","1","10","18","62.07%","1","0","6","12"
"Ryan Dickey","KC","3","0","0","0","0","0","0","0","0%","0","0","0","3"
"Ryan Hsu","DET","0","0","0","0","86","10","55","21","24.42%","9","-21","0","9"
"Ryan Pfenning","BOS","8","9","17","11","0","0","0","0","0%","0","0","0","9"
"Ryan Scheponik","WAS","0","0","0","0","0","0","0","0","0%","0","0","0","0"
"Ryley Andrews","IND","4","1","0","3","4","0","1","3","75.0%","0","2","1","3"
"Sam Hauser","ROC","1","1","2","4","0","0","0","0","0%","0","0","0","3"
"Sam Rapnicki","CLE","0","0","0","0","0","0","0","0","0%","0","0","0","0"
"Samantha McCaul","TOR","0","0","0","0","41","4","11","26","63.41%","26","8","0","0"
"Sammy Garza","AUS","6","27","16","8","0","0","0","0","0%","0","0","0","0"
"Sarah Dykstra","TOR","3","3","13","7","0","0","0","0","0%","0","0","0","3"
"Sarah Kneiling","NO","0","0","0","0","144","18","47","79","54.86%","16","-20","0","12"
"Sarah Yanofsky","NO","0","0","0","0","16","1","2","13","81.25%","3","6","0","3"
"Savannah Campbell","OTT","0","0","5","1","0","0","0","0","0%","0","0","0","3"
"Scott Rousseau","TOR","0","6","1","2","0","0","0","0","0%","0","0","0","0"
"Sean Bairos","OTT","0","0","0","0","146","36","81","29","19.86%","7","-81","-14","15"
"Sean Townsend","LC","0","4","3","3","0","0","0","0","0%","0","0","0","6"
"Sedona Sabatino","NYC","0","0","0","1","42","1","11","30","71.43%","1","17","0","3"
"Sena Morimoto","KC","3","4","3","2","0","0","0","0","0%","0","0","0","3"
"Serena Monteiro","BOS","0","0","0","0","71","4","17","50","70.42%","7","26","0","12"
"Seth Swenson","MPLS","3","0","6","9","0","0","0","0","0%","0","0","0","9"
"Shade Jaiyeola","NYC","4","2","0","3","0","0","0","0","0%","0","0","0","3"
"Shane McConaghie","WAS","7","3","4","7","0","0","0","0","0%","0","0","0","9"
"Shelby Cascio","NO","11","3","19","5","0","0","0","0","0%","0","0","0","12"
"Shira Hersch","TOR","0","0","0","0","10","0","8","2","20.0%","0","1","0","3"
"Simon Arends","AUS","0","0","0","0","0","0","0","0","0%","0","0","0","0"
"Sinan Keyder","TOR","1","9","6","5","0","0","0","0","0%","0","0","0","3"
"Sollie Gominak","ROC","3","1","3","3","38","1","12","24","63.16%","1","7","0","3"
"Sophia Araujo","SA","0","0","0","0","0","0","0","0","0%","0","0","0","3"
"Stephen Trempel","BOS","1","0","0","0","0","0","0","0","0%","0","0","0","3"
"Steven Belitzky","BOS","0","0","0","0","91","10","19","61","67.03%","6","19","0","12"
"Stevie Vindua","TOR","0","17","7","5","0","0","0","0","0%","0","0","0","0"
"Swathi Mannem","AUS","2","4","1","1","0","0","0","0","0%","0","-1","1","0"
"Sydney Boeger","KC","1","0","0","1","0","0","0","0","0%","0","0","0","3"
"Sydney Stommes","MPLS","8","0","7","7","0","0","0","0","0%","0","0","0","9"
"Tad Walters","IND","2","5","6","3","17","0","8","9","52.94%","1","3","1","9"
"Tate Kay","NYC","0","0","0","0","26","2","10","14","53.85%","3","-5","0","3"
"Taylor Crawford","BOS","19","7","21","8","0","0","0","0","0%","0","0","0","12"
"Taylor Diveley","CLT","9","0","7","3","0","0","0","0","0%","0","0","0","12"
"Taylor Tracy","AUS","0","0","0","0","89","7","21","43","48.31%","40","24","0","0"
"Terry Carlson","MPLS","7","1","3","3","0","0","0","0","0%","0","0","0","9"
"Tessa Mullins","NYC","0","0","0","0","131","9","45","75","57.25%","31","41","0","6"
"Tim Nguyen","SA","1","1","0","0","0","0","0","0","0%","0","0","0","3"
"TJ Generette","WAS","14","9","9","15","0","0","0","0","0%","0","0","4","9"
"Tommy O'Connor","CLT","5","3","8","3","0","0","0","0","0%","0","0","0","9"
"Tony Bonadio","CLT","0","0","0","0","51","9","20","22","43.14%","3","-18","0","6"
"Tori Nutt","WAS","0","0","0","0","11","1","1","9","81.82%","1","8","0","3"
"Trey Pressley","CLT","11","10","21","15","0","0","0","0","0%","0","0","0","12"
"Tuan Tran","SA","0","0","0","0","2","0","2","0","0.0%","0","1","0","3"
"Tyler Beckmann","BOS","2","4","3","8","0","0","0","0","0%","0","0","1","9"
"Tyler Piper","IND","1","0","2","1","0","0","0","0","0%","0","0","0","6"
"Tyler Trudeau","WAS","10","13","15","11","0","0","0","0","0%","0","-2","1","9"
"Tyrell Byrd","CLT","1","1","7","0","0","0","0","0","0%","0","0","0","6"
"Veronica Spicer","NO","2","2","13","0","0","0","0","0","0%","0","0","1","12"
"Vincent Iannucci","NYC","8","8","2","5","0","0","0","0","0%","0","0","3","3"
"Vincent Reyes","KC","0","0","0","0","20","0","8","11","55.0%","1","0","0","3"
"Vincenzo Cicco","NYC","0","0","0","0","37","1","7","29","78.38%","4","9","0","6"
"Viviana Estrada","LC","0","0","4","3","0","0","0","0","0%","0","0","0","6"
"Will Spencer","LC","1","0","2","2","1","0","1","0","0.0%","1","1","0","6"
"William Andrews","BOS","0","0","0","0","54","3","15","36","66.67%","7","10","0","12"
"William Templin","MPLS","0","0","0","0","0","0","0","0","0%","0","0","0","0"
"Wils Nielson","TOR","3","3","3","5","0","0","0","0","0%","0","-1","0","3"
"Wren Bradley","OTT","0","1","1","6","0","0","0","0","0%","0","0","0","3"
"Wren Morgan","CLT","0","0","0","0","19","1","5","13","68.42%","1","5","0","6"
"Wyatt Ross","SA","4","2","5","2","0","0","0","0","0%","0","0","0","3"
"Zac MacDonald","TOR","0","0","0","0","0","0","0","0","0%","0","0","0","0"
"Zach Doyle","BOS","16","3","4","6","0","0","0","0","0%","0","0","0","9"
"Zach Sobel-Pressman","ROC","2","1","4","1","0","0","0","0","0%","0","0","0","3"
"Zach Zyla","DET","0","0","0","0","5","1","1","3","60.0%","0","-1","0","6"
"Zachary Armantrading","NYC","8","6","2","6","0","0","0","0","0%","0","0","0","6"
"Zachary Thompson","CLT","0","0","2","1","0","0","0","0","0%","0","0","0","6"
"Zain Bhaila","WAS","0","0","0","0","73","5","13","32","43.84%","10","25","0","9"
"Zeke Majeske","MPLS","7","1","8","11","0","0","0","0","0%","0","0","0","9"
"Zoe Popova","OTT","0","0","0","0","171","44","86","39","22.81%","5","-89","-19","12"
